PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,51,76,1,26,1,0
2,Cider,25,101,101,126,0,25,0,0
3,B52,200,151,151,351,0,200,0,0
0,Tequila shot,20,176,356,376,180,200,180,0
7,Beer,25,351,382,407,31,56,31,0
5,Red Wine,25,251,412,438,161,187,161,0
4,White Wine,25,201,443,468,242,267,242,0
3,Beer,25,361,473,499,112,138,112,0
10,Beer,25,501,504,529,3,28,3,0
0,Gin and Tonic,40,380,534,574,154,194,154,0
11,Tequila shot,20,551,580,600,29,49,29,0
12,White Wine,25,601,605,630,4,29,4,0
10,Cider,25,629,636,661,7,32,7,0
7,Gin and Tonic,40,507,666,707,159,200,159,0
0,Gin and Tonic,40,685,712,752,27,67,27,0
2,Martini,60,226,757,818,531,592,531,0
12,Gin and Tonic,40,781,823,863,42,82,42,0
17,White Wine,25,851,868,894,17,43,17,0
0,White Wine,25,862,899,924,37,62,37,0
18,Beer,25,901,930,955,29,54,29,0
2,Beer,25,928,960,985,32,57,32,0
7,Gin and Tonic,40,817,990,1031,173,214,173,0
10,Draft Beer,50,761,1036,1086,275,325,275,0
13,Martini,60,651,1091,1152,440,501,440,0
7,White Wine,25,1141,1157,1182,16,41,16,0
22,Draft Beer,50,1101,1187,1238,86,137,86,0
24,White Wine,25,1201,1243,1268,42,67,42,0
10,Draft Beer,50,1186,1273,1324,87,138,87,0
25,Draft Beer,50,1251,1329,1379,78,128,78,0
27,Vodka shot,20,1351,1384,1405,33,54,33,0
7,White Wine,25,1332,1410,1435,78,103,78,0
28,White Wine,25,1401,1440,1466,39,65,39,0
10,Red Wine,25,1424,1471,1497,47,73,47,0
25,Cider,25,1479,1502,1527,23,48,23,0
29,Gin and Tonic,40,1451,1532,1573,81,122,81,0
2,Martini,60,1085,1578,1638,493,553,493,0
28,Draft Beer,50,1616,1643,1693,27,77,27,0
29,Beer,25,1683,1699,1724,16,41,16,0
22,Martini,60,1338,1729,1789,391,451,391,0
2,Vodka shot,20,1748,1794,1815,46,67,46,0
6,Martini,60,301,1820,1880,1519,1579,1519,0
17,Cosmopolitan,65,1044,1885,1951,841,907,841,0
22,Martini,60,1899,1956,2016,57,117,57,0
17,Tequila shot,20,2001,2021,2042,20,41,20,0
6,Red Wine,25,1991,2047,2072,56,81,56,0
23,Cosmopolitan,65,1151,2077,2142,926,991,926,0
17,Cosmopolitan,65,2045,2148,2213,103,168,103,0
18,Bloody Mary,70,1055,2218,2288,1163,1233,1163,0
17,Red Wine,25,2263,2293,2319,30,56,30,0
22,Bloody Mary,70,2127,2324,2394,197,267,197,0
1,Bloody Mary,70,176,2399,2470,2223,2294,2223,0
14,Bloody Mary,70,701,2475,2545,1774,1844,1774,0
22,Martini,60,2544,2550,2610,6,66,6,0
27,Bloody Mary,70,1408,2616,2686,1208,1278,1208,0
16,Bloody Mary,70,801,2691,2761,1890,1960,1890,0
14,Bloody Mary,70,2695,2767,2837,72,142,72,0
27,White Wine,25,2836,2842,2867,6,31,6,0
23,Margarita,75,2193,2872,2948,679,755,679,0
16,Cider,25,2912,2953,2978,41,66,41,0
8,Mojito,75,401,2983,3059,2582,2658,2582,0
14,Tequila shot,20,2987,3064,3084,77,97,77,0
27,Red Wine,25,3018,3089,3115,71,97,71,0
16,Beer,25,3079,3120,3145,41,66,41,0
14,Draft Beer,50,3088,3150,3200,62,112,62,0
8,Cider,25,3169,3205,3231,36,62,36,0
23,Martini,60,3028,3236,3296,208,268,208,0
14,Martini,60,3301,3301,3362,0,61,0,0
8,Red Wine,25,3331,3367,3392,36,61,36,0
16,Cosmopolitan,65,3245,3397,3462,152,217,152,0
27,Cosmopolitan,65,3265,3468,3533,203,268,203,0
16,Gin and Tonic,40,3513,3538,3578,25,65,25,0
8,Cider,25,3542,3583,3609,41,67,41,0
19,Mojito,75,951,3614,3689,2663,2738,2663,0
1,Margarita,75,2620,3694,3769,1074,1149,1074,0
8,Tequila shot,20,3709,3775,3795,66,86,66,0
23,Mojito,75,3407,3800,3875,393,468,393,0
1,Cider,25,3850,3880,3906,30,56,30,0
4,Margarita,75,618,3911,3986,3293,3368,3293,0
23,Cosmopolitan,65,3986,3991,4057,5,71,5,0
1,Gin and Tonic,40,4006,4062,4102,56,96,56,0
9,Margarita,75,451,4107,4183,3656,3732,3656,0
4,Margarita,75,4067,4188,4263,121,196,121,0
12,Pina Colada,100,974,4268,4369,3294,3395,3294,0
4,Tequila shot,20,4344,4374,4394,30,50,30,0
4,Bloody Mary,70,4397,4399,4469,2,72,2,0
15,Pina Colada,100,751,4475,4575,3724,3824,3724,0
12,Mojito,75,4489,4580,4656,91,167,91,0
11,Pina Colada,100,603,4661,4761,4058,4158,4058,0
15,Red Wine,25,4695,4766,4792,71,97,71,0
12,Martini,60,4766,4797,4857,31,91,31,0
18,Pina Colada,100,2439,4862,4962,2423,2523,2423,0
11,Vodka shot,20,4882,4968,4988,86,106,86,0
15,Cosmopolitan,65,4942,4993,5058,51,116,51,0
11,Margarita,75,4991,5063,5139,72,148,72,0
15,Beer,25,5109,5144,5169,35,60,35,0
18,Bloody Mary,70,5083,5174,5245,91,162,91,0
11,Margarita,75,5219,5250,5325,31,106,31,0
15,Red Wine,25,5269,5330,5356,61,87,61,0
5,Pina Colada,100,588,5361,5461,4773,4873,4773,0
18,Mojito,75,5395,5467,5542,72,147,72,0
24,Pina Colada,100,1418,5547,5647,4129,4229,4129,0
5,Vodka shot,20,5582,5652,5673,70,91,70,0
5,Gin and Tonic,40,5676,5678,5718,2,42,2,0
13,Pina Colada,100,1262,5723,5824,4461,4562,4461,0
24,Tequila shot,20,5768,5829,5849,61,81,61,0
5,Vodka shot,20,5828,5854,5875,26,47,26,0
24,Bloody Mary,70,5852,5880,5950,28,98,28,0
13,Margarita,75,5944,5955,6031,11,87,11,0
26,Pina Colada,100,1301,6036,6136,4735,4835,4735,0
13,Gin and Tonic,40,6111,6141,6181,30,70,30,0
24,Cosmopolitan,65,6100,6187,6252,87,152,87,0
26,Cider,25,6256,6257,6283,1,27,1,0
20,Pina Colada,100,1001,6288,6388,5287,5387,5287,0
13,Martini,60,6292,6394,6454,102,162,102,0
6,Pina Colada,100,2222,6459,6559,4237,4337,4237,0
20,Beer,25,6509,6565,6590,56,81,56,0
26,Pina Colada,100,6383,6595,6695,212,312,212,0
20,Draft Beer,50,6690,6700,6750,10,60,10,0
6,Mojito,75,6680,6756,6831,76,151,76,0
26,Cider,25,6816,6836,6862,20,46,20,0
9,Pina Colada,100,4263,6867,6967,2604,2704,2604,0
6,Draft Beer,50,6942,6972,7022,30,80,30,0
26,Draft Beer,50,6962,7028,7078,66,116,66,0
20,Pina Colada,100,6851,7083,7184,232,333,232,0
9,Beer,25,7087,7189,7214,102,127,102,0
29,B52,200,1824,7219,7420,5395,5596,5395,0
9,Draft Beer,50,7314,7425,7475,111,161,111,0
29,Mojito,75,7430,7480,7556,50,126,50,0
20,Pina Colada,100,7304,7561,7661,257,357,257,0
29,Tequila shot,20,7666,7666,7687,0,21,0,0
9,Martini,60,7575,7692,7752,117,177,117,0
19,B52,200,3799,7758,7958,3959,4159,3959,0
25,B52,200,1627,7963,8163,6336,6536,6336,0
19,Beer,25,7968,8168,8194,200,226,200,0
25,Beer,25,8174,8199,8224,25,50,25,0
28,B52,200,1794,8230,8430,6436,6636,6436,0
25,Martini,60,8325,8435,8496,110,171,110,0
28,Beer,25,8440,8501,8526,61,86,61,0
19,Pina Colada,100,8294,8531,8632,237,338,237,0
28,Vodka shot,20,8626,8637,8657,11,31,11,0
21,B52,200,1051,8662,8863,7611,7812,7611,0
19,Martini,60,8752,8868,8928,116,176,116,0
3,B52,200,599,8933,9133,8334,8534,8334,0
21,B52,200,8873,9139,9339,266,466,266,0
3,Martini,60,9144,9344,9405,200,261,200,0
21,Cider,25,9350,9410,9435,60,85,60,0
3,Martini,60,9515,9515,9575,0,60,0,0
21,Draft Beer,50,9535,9581,9631,46,96,46,0
21,Margarita,75,9731,9731,9807,0,76,0,0
