PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,51,51,76,0,25,0,0
2,Cider,25,100,101,126,1,26,1,0
3,B52,200,151,151,351,0,200,0,0
1,Tequila shot,20,176,356,376,180,200,180,0
7,Beer,25,351,382,407,31,56,31,0
5,Red Wine,25,251,412,437,161,186,161,0
4,White Wine,25,201,442,468,241,267,241,0
3,Beer,25,361,473,498,112,137,112,0
10,Beer,25,501,503,529,2,28,2,0
1,Gin and Tonic,40,380,534,574,154,194,154,0
11,Tequila shot,20,551,579,599,28,48,28,0
12,White Wine,25,601,605,630,4,29,4,0
10,Cider,25,629,635,660,6,31,6,0
7,Gin and Tonic,40,507,666,706,159,199,159,0
1,Gin and Tonic,40,684,711,751,27,67,27,0
2,Martini,60,226,756,817,530,591,530,0
12,Gin and Tonic,40,780,822,862,42,82,42,0
17,White Wine,25,851,867,892,16,41,16,0
1,White Wine,25,861,897,923,36,62,36,0
18,Beer,25,901,928,953,27,52,27,0
2,Beer,25,927,958,983,31,56,31,0
7,Gin and Tonic,40,816,988,1029,172,213,172,0
10,Draft Beer,50,761,1034,1084,273,323,273,0
13,Martini,60,651,1089,1149,438,498,438,0
7,White Wine,25,1139,1154,1180,15,41,15,0
22,Draft Beer,50,1101,1185,1235,84,134,84,0
24,White Wine,25,1201,1240,1265,39,64,39,0
10,Draft Beer,50,1184,1270,1321,86,137,86,0
25,Draft Beer,50,1251,1326,1376,75,125,75,0
27,Vodka shot,20,1351,1381,1401,30,50,30,0
7,White Wine,25,1330,1406,1432,76,102,76,0
28,White Wine,25,1401,1437,1462,36,61,36,0
10,Red Wine,25,1421,1467,1493,46,72,46,0
25,Cider,25,1476,1498,1523,22,47,22,0
29,Gin and Tonic,40,1451,1528,1569,77,118,77,0
2,Martini,60,1084,1574,1634,490,550,490,0
28,Draft Beer,50,1612,1639,1689,27,77,27,0
29,Beer,25,1679,1694,1720,15,41,15,0
22,Martini,60,1335,1725,1785,390,450,390,0
2,Vodka shot,20,1744,1790,1810,46,66,46,0
6,Martini,60,301,1815,1876,1514,1575,1514,0
17,Cosmopolitan,65,1043,1881,1946,838,903,838,0
22,Martini,60,1895,1952,2012,57,117,57,0
17,Tequila shot,20,1997,2017,2037,20,40,20,0
6,Red Wine,25,1986,2042,2068,56,82,56,0
23,Cosmopolitan,65,1151,2073,2138,922,987,922,0
17,Cosmopolitan,65,2041,2144,2209,103,168,103,0
18,Bloody Mary,70,1053,2214,2284,1161,1231,1161,0
17,Red Wine,25,2259,2289,2315,30,56,30,0
22,Bloody Mary,70,2122,2320,2390,198,268,198,0
0,Bloody Mary,70,176,2395,2466,2219,2290,2219,0
14,Bloody Mary,70,701,2471,2541,1770,1840,1770,0
22,Martini,60,2541,2546,2607,5,66,5,0
27,Bloody Mary,70,1405,2612,2682,1207,1277,1207,0
16,Bloody Mary,70,801,2687,2757,1886,1956,1886,0
14,Bloody Mary,70,2691,2763,2833,72,142,72,0
27,White Wine,25,2833,2838,2864,5,31,5,0
23,Margarita,75,2189,2869,2944,680,755,680,0
16,Cider,25,2908,2949,2974,41,66,41,0
8,Mojito,75,401,2980,3055,2579,2654,2579,0
14,Tequila shot,20,2983,3060,3080,77,97,77,0
27,Red Wine,25,3014,3086,3111,72,97,72,0
16,Beer,25,3075,3116,3141,41,66,41,0
14,Draft Beer,50,3084,3147,3197,63,113,63,0
8,Cider,25,3165,3202,3227,37,62,37,0
23,Martini,60,3024,3232,3293,208,269,208,0
14,Martini,60,3297,3298,3358,1,61,1,0
8,Red Wine,25,3327,3363,3389,36,62,36,0
16,Cosmopolitan,65,3242,3394,3459,152,217,152,0
27,Cosmopolitan,65,3261,3464,3530,203,269,203,0
16,Gin and Tonic,40,3509,3535,3575,26,66,26,0
8,Cider,25,3539,3580,3606,41,67,41,0
19,Mojito,75,951,3611,3686,2660,2735,2660,0
0,Margarita,75,2616,3691,3766,1075,1150,1075,0
8,Tequila shot,20,3706,3771,3792,65,86,65,0
23,Mojito,75,3403,3797,3872,394,469,394,0
0,Cider,25,3847,3877,3903,30,56,30,0
4,Margarita,75,618,3908,3983,3290,3365,3290,0
23,Cosmopolitan,65,3983,3988,4054,5,71,5,0
0,Gin and Tonic,40,4003,4059,4099,56,96,56,0
9,Margarita,75,451,4104,4180,3653,3729,3653,0
4,Margarita,75,4063,4185,4260,122,197,122,0
12,Pina Colada,100,972,4266,4366,3294,3394,3294,0
4,Tequila shot,20,4341,4371,4391,30,50,30,0
4,Bloody Mary,70,4395,4396,4467,1,72,1,0
15,Pina Colada,100,751,4472,4572,3721,3821,3721,0
12,Mojito,75,4486,4577,4653,91,167,91,0
11,Pina Colada,100,603,4658,4758,4055,4155,4055,0
15,Red Wine,25,4693,4763,4789,70,96,70,0
12,Martini,60,4763,4794,4854,31,91,31,0
18,Pina Colada,100,2435,4859,4959,2424,2524,2424,0
11,Vodka shot,20,4878,4965,4985,87,107,87,0
15,Cosmopolitan,65,4939,4990,5055,51,116,51,0
11,Margarita,75,4988,5060,5136,72,148,72,0
15,Beer,25,5106,5141,5166,35,60,35,0
18,Bloody Mary,70,5080,5171,5242,91,162,91,0
11,Margarita,75,5216,5247,5322,31,106,31,0
15,Red Wine,25,5267,5328,5353,61,86,61,0
5,Pina Colada,100,588,5358,5459,4770,4871,4770,0
18,Mojito,75,5392,5464,5539,72,147,72,0
24,Pina Colada,100,1415,5544,5645,4129,4230,4129,0
5,Vodka shot,20,5579,5650,5670,71,91,71,0
5,Gin and Tonic,40,5674,5675,5716,1,42,1,0
13,Pina Colada,100,1260,5721,5821,4461,4561,4461,0
24,Tequila shot,20,5765,5826,5846,61,81,61,0
5,Vodka shot,20,5826,5851,5872,25,46,25,0
24,Bloody Mary,70,5850,5877,5947,27,97,27,0
13,Margarita,75,5941,5952,6028,11,87,11,0
26,Pina Colada,100,1301,6033,6133,4732,4832,4732,0
13,Gin and Tonic,40,6108,6138,6178,30,70,30,0
24,Cosmopolitan,65,6098,6184,6249,86,151,86,0
26,Cider,25,6253,6254,6280,1,27,1,0
20,Pina Colada,100,1001,6285,6385,5284,5384,5284,0
13,Martini,60,6289,6390,6451,101,162,101,0
6,Pina Colada,100,2218,6456,6556,4238,4338,4238,0
20,Beer,25,6506,6561,6587,55,81,55,0
26,Pina Colada,100,6380,6592,6692,212,312,212,0
20,Draft Beer,50,6687,6697,6747,10,60,10,0
6,Mojito,75,6677,6752,6828,75,151,75,0
26,Cider,25,6812,6833,6858,21,46,21,0
9,Pina Colada,100,4260,6863,6963,2603,2703,2603,0
6,Draft Beer,50,6938,6968,7019,30,81,30,0
26,Draft Beer,50,6958,7024,7074,66,116,66,0
20,Pina Colada,100,6847,7079,7180,232,333,232,0
9,Beer,25,7083,7185,7210,102,127,102,0
29,B52,200,1820,7215,7415,5395,5595,5395,0
9,Draft Beer,50,7310,7421,7471,111,161,111,0
29,Mojito,75,7426,7476,7551,50,125,50,0
20,Pina Colada,100,7300,7557,7657,257,357,257,0
29,Tequila shot,20,7662,7662,7682,0,20,0,0
9,Martini,60,7571,7687,7747,116,176,116,0
19,B52,200,3796,7753,7953,3957,4157,3957,0
25,B52,200,1623,7958,8159,6335,6536,6335,0
19,Beer,25,7963,8164,8189,201,226,201,0
25,Beer,25,8169,8194,8219,25,50,25,0
28,B52,200,1790,8224,8424,6434,6634,6434,0
25,Martini,60,8319,8430,8490,111,171,111,0
28,Beer,25,8435,8495,8520,60,85,60,0
19,Pina Colada,100,8289,8526,8626,237,337,237,0
28,Vodka shot,20,8621,8631,8651,10,30,10,0
21,B52,200,1051,8657,8857,7606,7806,7606,0
19,Martini,60,8746,8862,8923,116,177,116,0
3,B52,200,599,8928,9128,8329,8529,8329,0
21,B52,200,8867,9134,9334,267,467,267,0
3,Martini,60,9138,9339,9399,201,261,201,0
21,Cider,25,9344,9404,9430,60,86,60,0
3,Martini,60,9510,9510,9570,0,60,0,0
21,Draft Beer,50,9530,9575,9625,45,95,45,0
21,Margarita,75,9726,9726,9801,0,75,0,0
