PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,5,1,1,37,0,36,0,2
1,Cider,5,51,51,87,0,36,0,2
2,Cider,5,101,101,137,0,36,0,2
1,Tequila shot,10,187,197,270,10,83,10,1
4,White Wine,5,201,244,451,43,250,43,2
5,Red Wine,5,251,322,571,71,320,71,2
6,Beer,5,301,384,659,83,358,83,2
7,Beer,5,351,457,762,106,411,106,2
4,Tequila shot,10,602,767,1006,165,404,165,1
0,Bloody Mary,10,188,212,1052,24,864,24,6
8,Gin and Tonic,10,401,519,1114,118,713,118,3
2,Martini,10,237,291,1145,54,908,54,5
11,Beer,5,551,695,1171,144,620,144,2
1,Martini,10,273,353,1342,80,1069,80,5
5,White Wine,5,721,905,1525,184,804,184,2
12,Gin and Tonic,10,601,742,1680,141,1079,141,3
16,Cider,5,801,1027,1768,226,967,226,2
7,Gin and Tonic,10,862,1119,2354,257,1492,257,3
23,White Wine,5,1151,1457,2380,306,1229,306,2
24,White Wine,5,1201,1504,2421,303,1220,303,2
0,Beer,5,1203,1530,2431,327,1228,327,2
8,Beer,5,1224,1561,2456,337,1232,337,2
4,Gin and Tonic,10,1010,1316,2624,306,1614,306,3
22,Gin and Tonic,10,1101,1426,2747,325,1646,325,3
9,Mojito,5,451,576,2863,125,2412,125,7
5,White Wine,5,1675,2114,2995,439,1320,439,2
20,Draft Beer,10,1001,1301,3056,300,2055,300,4
10,Margarita,5,501,638,3113,137,2612,137,7
17,Martini,10,851,1089,3159,238,2308,238,5
1,Draft Beer,10,1452,1896,3669,444,2217,444,4
18,Bloody Mary,10,901,1176,3700,275,2799,275,6
7,White Wine,5,2464,2843,3741,379,1277,379,2
22,Vodka shot,10,2857,3287,3757,430,900,430,1
24,White Wine,5,2571,3000,3907,429,1336,429,2
6,Margarita,5,759,981,3917,222,3158,222,7
21,Bloody Mary,10,1051,1363,3964,312,2913,312,6
16,Draft Beer,10,1868,2313,4072,445,2204,445,4
29,Martini,10,1451,1866,4103,415,2652,415,5
9,White Wine,5,2974,3411,4315,437,1341,437,2
26,Cosmopolitan,5,1301,1701,4356,400,3055,400,6
28,Bloody Mary,10,1401,1804,4402,403,3001,403,6
13,Pina Colada,10,651,828,4433,177,3782,177,9
10,Red Wine,5,3193,3627,4505,434,1312,434,2
25,Mojito,5,1251,1608,4639,357,3388,357,7
23,Draft Beer,10,2530,2914,4685,384,2155,384,4
15,Pina Colada,10,751,950,4716,199,3965,199,9
12,Cosmopolitan,5,1790,2221,4804,431,3014,431,6
6,Vodka shot,10,3998,4408,4835,410,837,410,1
17,Gin and Tonic,10,3269,3720,5005,451,1736,451,3
22,Cider,5,3760,4154,5016,394,1256,394,2
19,Pina Colada,10,951,1238,5062,287,4111,287,9
7,Beer,5,3891,4320,5181,429,1290,429,2
26,Tequila shot,10,4406,4810,5242,404,836,404,1
4,Martini,10,2734,3164,5350,430,2616,430,5
3,B52,10,151,151,5411,0,5260,0,19
29,Red Wine,5,4213,4644,5483,431,1270,431,2
2,Pina Colada,10,1255,1623,5514,368,4259,368,9
11,Pina Colada,10,1271,1655,5591,384,4320,384,9
1,Draft Beer,10,3769,4170,5928,401,2159,401,4
25,Red Wine,5,4749,5160,6014,411,1265,411,2
19,Tequila shot,10,5182,5611,6030,429,848,429,1
5,Bloody Mary,10,3146,3565,6198,419,3052,419,6
17,White Wine,5,5115,5519,6391,404,1276,404,2
22,Cider,5,5116,5535,6401,419,1285,419,2
26,Red Wine,5,5245,5673,6532,428,1287,428,2
3,Beer,5,5422,5841,6710,419,1288,419,2
16,Martini,10,4172,4588,6770,416,2598,416,5
0,Pina Colada,10,2531,2929,6816,398,4285,398,9
29,Cider,5,5634,6035,6857,401,1223,401,2
8,Pina Colada,10,2557,2975,6888,418,4331,418,9
15,Martini,10,4837,5247,7392,410,2555,410,5
25,Red Wine,5,6165,6568,7417,403,1252,403,2
20,Pina Colada,10,3157,3581,7493,424,4336,424,9
9,Cosmopolitan,5,4465,4871,7503,406,3038,406,6
26,Tequila shot,10,6683,7092,7534,409,851,409,1
28,Bloody Mary,10,4553,4964,7580,411,3027,411,6
4,Draft Beer,10,5460,5902,7625,442,2165,442,4
17,Cider,5,6541,6939,7787,398,1246,398,2
7,Martini,10,5281,5719,7864,438,2583,438,5
12,Bloody Mary,10,4855,5294,7879,439,3024,439,6
13,Margarita,5,4553,4979,7995,426,3442,426,7
16,Cider,5,6881,7275,8112,394,1231,394,2
22,Gin and Tonic,10,6501,6893,8142,392,1641,392,3
6,Margarita,5,4839,5263,8243,424,3404,424,7
26,Tequila shot,10,7537,7914,8304,377,767,377,1
19,Martini,10,6033,6436,8486,403,2453,403,5
2,Cosmopolitan,5,5634,6050,8496,416,2862,416,6
29,Gin and Tonic,10,6958,7366,8573,408,1615,408,3
11,Cosmopolitan,5,5711,6142,8599,431,2888,431,6
17,Vodka shot,10,7888,8248,8630,360,742,360,1
14,B52,10,701,874,8723,173,8022,173,19
20,Red Wine,5,7613,8015,8764,402,1151,402,2
10,Pina Colada,10,4655,5083,8795,428,4140,428,9
23,Pina Colada,10,4786,5201,8872,415,4086,415,9
29,Vodka shot,10,8683,9031,9411,348,728,348,1
6,Beer,5,8323,8681,9421,358,1098,358,2
5,Mojito,5,6348,6745,9478,397,3130,397,7
27,B52,10,1351,1747,9571,396,8220,396,19
20,Tequila shot,10,8914,9231,9601,317,687,317,1
10,Vodka shot,10,8915,9246,9616,331,701,331,1
0,Cosmopolitan,5,6937,7336,9627,399,2690,399,6
19,Red Wine,5,8596,8939,9652,343,1056,343,2
28,Martini,10,7730,8117,9868,387,2138,387,5
8,Margarita,5,7008,7422,9956,414,2948,414,7
9,Bloody Mary,10,7554,7945,10048,391,2494,391,6
14,Gin and Tonic,10,8733,9077,10064,344,1331,344,3
25,Mojito,5,7567,7975,10352,408,2785,408,7
12,Cosmopolitan,5,8029,8400,10378,371,2349,371,6
16,Bloody Mary,10,8212,8578,10532,366,2320,366,6
19,Cider,5,9802,10084,10650,282,848,282,2
13,Margarita,5,8075,8461,10691,386,2616,386,7
10,Gin and Tonic,10,9620,9920,10813,300,1193,300,3
15,Pina Colada,10,7502,7884,10828,382,3326,382,9
14,Beer,5,10174,10445,10991,271,817,271,2
2,Margarita,5,8546,8893,11017,347,2471,347,7
23,Bloody Mary,10,8992,9338,11093,346,2101,346,6
11,Mojito,5,8649,8985,11103,336,2454,336,7
18,B52,10,3850,4278,11195,428,7345,428,19
25,Cider,5,10463,10742,11236,279,773,279,2
24,B52,10,4057,4484,11328,427,7271,427,19
21,B52,10,4114,4510,11343,396,7229,396,19
20,Cosmopolitan,5,9604,9904,11506,300,1902,300,6
28,Martini,10,9978,10254,11521,276,1543,276,5
12,Draft Beer,10,10428,10696,11644,268,1216,268,4
27,Margarita,5,9581,9873,11669,292,2088,292,7
18,Beer,5,11205,11394,11817,189,612,189,2
15,Draft Beer,10,10948,11170,12002,222,1054,222,4
28,Tequila shot,10,11632,11823,12017,191,385,191,1
9,Mojito,5,10199,10476,12074,277,1875,277,7
14,Draft Beer,10,11091,11302,12089,211,998,211,4
23,Draft Beer,10,11243,11455,12212,212,969,212,4
27,Beer,5,11750,11930,12284,180,534,180,2
8,Pina Colada,10,10036,10331,12315,295,2279,295,9
18,Beer,5,11918,12095,12403,177,485,177,2
21,Martini,10,11353,11557,12434,204,1081,204,5
3,B52,10,6810,7214,12449,404,5639,404,19
13,Pina Colada,10,10771,11022,12603,251,1832,251,9
24,Mojito,5,11338,11542,12659,204,1321,204,7
3,Vodka shot,10,12460,12547,12690,87,230,87,1
27,Beer,5,12385,12501,12746,116,361,116,2
11,Pina Colada,10,11214,11424,12823,210,1609,210,9
14,Martini,10,12190,12336,12930,146,740,146,5
13,Cider,5,12723,12828,13048,105,325,105,2
18,Martini,10,12503,12608,13170,105,667,105,5
15,Pina Colada,10,12102,12233,13262,131,1160,131,9
3,Martini,10,12693,12782,13308,89,615,89,5
27,Draft Beer,10,12847,12951,13323,104,476,104,4
24,Martini,10,12770,12874,13338,104,568,104,5
21,B52,10,12544,12665,13539,121,995,121,19
21,Margarita,5,13549,13549,13663,0,114,0,7
