PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,5,1,1,37,0,36,0,2
1,Cider,5,50,50,87,0,37,0,2
2,Cider,5,100,100,137,0,37,0,2
1,Tequila shot,10,187,197,269,10,82,10,1
4,White Wine,5,200,244,452,44,252,44,2
5,Red Wine,5,250,324,571,74,321,74,2
6,Beer,5,302,386,660,84,358,84,2
7,Beer,5,350,458,763,108,413,108,2
4,Tequila shot,10,603,769,1012,166,409,166,1
0,Bloody Mary,10,187,212,1058,25,871,25,6
8,Gin and Tonic,10,400,520,1120,120,720,120,3
2,Martini,10,237,293,1151,56,914,56,5
11,Beer,5,550,696,1193,146,643,146,2
1,Martini,10,273,355,1348,82,1075,82,5
5,White Wine,5,722,908,1545,186,823,186,2
12,Gin and Tonic,10,600,743,1668,143,1068,143,3
16,Cider,5,800,1032,1771,232,971,232,2
7,Gin and Tonic,10,864,1126,2358,262,1494,262,3
23,White Wine,5,1150,1462,2384,312,1234,312,2
24,White Wine,5,1200,1509,2426,309,1226,309,2
0,Beer,5,1208,1524,2436,316,1228,316,2
8,Beer,5,1231,1565,2462,334,1231,334,2
4,Gin and Tonic,10,1015,1323,2632,308,1617,308,3
22,Gin and Tonic,10,1100,1416,2741,316,1641,316,3
9,Mojito,5,450,577,2875,127,2425,127,7
5,White Wine,5,1695,2117,3009,422,1314,422,2
20,Draft Beer,10,1000,1307,3071,307,2071,307,4
10,Margarita,5,500,639,3128,139,2628,139,7
17,Martini,10,850,1094,3190,244,2340,244,5
1,Draft Beer,10,1459,1899,3686,440,2227,440,4
18,Bloody Mary,10,900,1173,3717,273,2817,273,6
22,Vodka shot,10,2851,3289,3747,438,896,438,1
7,White Wine,5,2469,2854,3773,385,1304,385,2
24,White Wine,5,2576,3015,3923,439,1347,439,2
6,Margarita,5,760,986,3949,226,3189,226,7
21,Bloody Mary,10,1050,1369,3995,319,2945,319,6
16,Draft Beer,10,1872,2317,4088,445,2216,445,4
29,Martini,10,1450,1868,4119,418,2669,418,5
9,White Wine,5,2985,3428,4330,443,1345,443,2
26,Cosmopolitan,5,1300,1689,4371,389,3071,389,6
28,Bloody Mary,10,1400,1807,4418,407,3018,407,6
13,Pina Colada,10,650,830,4433,180,3783,180,9
10,Red Wine,5,3209,3644,4521,435,1312,435,2
25,Mojito,5,1250,1596,4640,346,3390,346,7
23,Draft Beer,10,2535,2927,4701,392,2166,392,4
15,Pina Colada,10,750,955,4732,205,3982,205,9
12,Cosmopolitan,5,1778,2210,4820,432,3042,432,6
6,Vodka shot,10,4029,4438,4850,409,821,409,1
22,Cider,5,3751,4155,5015,404,1264,404,2
17,Gin and Tonic,10,3301,3753,5031,452,1730,452,3
19,Pina Colada,10,950,1245,5077,295,4127,295,9
7,Beer,5,3924,4350,5211,426,1287,426,2
26,Tequila shot,10,4422,4825,5258,403,836,403,1
4,Martini,10,2742,3165,5365,423,2623,423,5
3,B52,10,150,150,5442,0,5292,0,19
29,Red Wine,5,4229,4660,5499,431,1270,431,2
2,Pina Colada,10,1262,1626,5545,364,4283,364,9
11,Pina Colada,10,1294,1673,5623,379,4329,379,9
1,Draft Beer,10,3786,4186,5948,400,2162,400,4
25,Red Wine,5,4750,5160,6035,410,1285,410,2
19,Tequila shot,10,5198,5628,6051,430,853,430,1
5,Bloody Mary,10,3160,3583,6205,423,3045,423,6
22,White Wine,5,5116,5520,6413,404,1297,404,2
17,Cider,5,5141,5566,6438,425,1297,425,2
26,Red Wine,5,5261,5690,6555,429,1294,429,2
3,Beer,5,5452,5875,6751,423,1299,423,2
16,Martini,10,4188,4604,6797,416,2609,416,5
0,Pina Colada,10,2536,2942,6843,406,4307,406,9
29,Cider,5,5649,6056,6885,407,1236,407,2
8,Pina Colada,10,2562,2989,6901,427,4339,427,9
15,Martini,10,4853,5263,7426,410,2573,410,5
25,Red Wine,5,6185,6591,7467,406,1282,406,2
20,Pina Colada,10,3172,3598,7529,426,4357,426,9
9,Cosmopolitan,5,4480,4887,7539,407,3059,407,6
26,Tequila shot,10,6706,7122,7570,416,864,416,1
13,Bloody Mary,10,4553,4964,7617,411,3064,411,6
4,Draft Beer,10,5476,5922,7663,446,2187,446,4
22,Cider,5,6563,6968,7828,405,1265,405,2
7,Martini,10,5312,5752,7905,440,2593,440,5
12,Bloody Mary,10,4870,5309,7921,439,3051,439,6
28,Margarita,5,4568,4995,8055,427,3487,427,7
16,Cider,5,6907,7292,8143,385,1236,385,2
17,Gin and Tonic,10,6538,6937,8204,399,1666,399,3
6,Margarita,5,4854,5278,8261,424,3407,424,7
26,Tequila shot,10,7574,7957,8338,383,764,383,1
19,Martini,10,6054,6459,8508,405,2454,405,5
2,Cosmopolitan,5,5666,6087,8534,421,2868,421,6
29,Gin and Tonic,10,6985,7400,8626,415,1641,415,3
11,Cosmopolitan,5,5743,6179,8652,436,2909,436,6
14,B52,10,700,877,8729,177,8029,177,19
20,Red Wine,5,7649,8060,8801,411,1152,411,2
12,Vodka shot,10,8071,8436,8816,365,745,365,1
10,Pina Colada,10,4671,5098,8832,427,4161,427,9
23,Pina Colada,10,4802,5217,8908,415,4106,415,9
6,Beer,5,8341,8704,9452,363,1111,363,2
29,Vodka shot,10,8737,9081,9468,344,731,344,1
5,Mojito,5,6355,6756,9539,401,3184,401,7
12,Tequila shot,10,8820,9173,9554,353,734,353,1
27,B52,10,1350,1751,9631,401,8281,401,19
20,Vodka shot,10,8951,9279,9661,328,710,328,1
0,Cosmopolitan,5,6964,7369,9687,405,2723,405,6
19,Red Wine,5,8618,8974,9712,356,1094,356,2
13,Martini,10,7767,8163,9928,396,2161,396,5
8,Margarita,5,7021,7447,10015,426,2994,426,7
14,Gin and Tonic,10,8740,9096,10108,356,1368,356,3
9,Bloody Mary,10,7590,7988,10123,398,2533,398,6
25,Mojito,5,7617,8019,10441,402,2824,402,7
28,Cosmopolitan,5,8135,8513,10482,378,2347,378,6
17,Bloody Mary,10,8315,8673,10650,358,2335,358,6
19,Cider,5,9863,10144,10721,281,858,281,2
20,Gin and Tonic,10,9665,9964,10828,299,1163,299,3
16,Margarita,5,8243,8601,10884,358,2641,358,7
15,Pina Colada,10,7536,7926,10899,390,3363,390,9
14,Beer,5,10218,10487,11032,269,814,269,2
2,Margarita,5,8584,8928,11057,344,2473,344,7
10,Bloody Mary,10,8952,9295,11118,343,2166,343,6
11,Mojito,5,8703,9050,11174,347,2471,347,7
18,B52,10,3867,4294,11251,427,7384,427,19
25,Cider,5,10551,10833,11292,282,741,282,2
23,Margarita,5,9028,9386,11348,358,2320,358,7
24,B52,10,4073,4500,11363,427,7290,427,19
21,B52,10,4145,4542,11394,397,7249,397,19
27,Cosmopolitan,5,9641,9933,11450,292,1809,292,6
13,Martini,10,10038,10314,11541,276,1503,276,5
28,Draft Beer,10,10532,10803,11678,271,1146,271,4
10,Beer,5,11268,11455,11872,187,604,187,2
27,Tequila shot,10,11500,11699,11903,199,403,199,1
9,Mojito,5,10274,10548,12112,274,1838,274,7
14,Draft Beer,10,11132,11312,12128,180,996,180,4
18,Draft Beer,10,11261,11429,12251,168,990,168,4
13,Beer,5,11651,11852,12261,201,610,201,2
24,Draft Beer,10,11373,11546,12307,173,934,173,4
8,Pina Colada,10,10096,10390,12323,294,2227,294,9
28,Beer,5,11778,11969,12333,191,555,191,2
3,B52,10,6851,7246,12487,395,5636,395,19
23,Martini,10,11428,11622,12549,194,1121,194,5
24,Vodka shot,10,12408,12523,12672,115,264,115,1
21,Mojito,5,11404,11577,12713,173,1309,173,7
18,Beer,5,12351,12461,12723,110,372,110,2
15,Pina Colada,10,11020,11225,12754,205,1734,205,9
11,Pina Colada,10,11285,11485,12846,200,1561,200,9
14,Martini,10,12228,12384,12923,156,695,156,5
3,Martini,10,12497,12615,13047,118,550,118,5
27,Pina Colada,10,11906,12092,13093,186,1187,186,9
15,Cider,5,12874,12944,13103,70,229,70,2
18,Martini,10,12824,12898,13211,74,387,74,5
3,Martini,10,13157,13186,13427,29,270,29,5
27,Draft Beer,10,13213,13247,13443,34,230,34,4
21,B52,10,12823,12882,13582,59,759,59,19
21,Margarita,5,13593,13593,13706,0,113,0,7
