PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,51,76,1,26,1,0
2,Cider,25,100,101,126,1,26,1,0
1,Tequila shot,20,176,256,276,80,100,80,0
0,Bloody Mary,70,177,282,352,105,175,105,0
4,White Wine,25,200,357,382,157,182,157,0
2,Martini,60,226,388,448,162,222,162,0
5,Red Wine,25,251,453,479,202,228,202,0
3,B52,100,151,151,584,0,433,0,1
1,Martini,60,280,589,649,309,369,309,0
6,Beer,25,301,654,680,353,379,353,0
7,Beer,25,351,685,710,334,359,334,0
8,Gin and Tonic,40,401,715,755,314,354,314,0
9,Mojito,75,451,760,836,309,385,309,0
10,Margarita,75,501,841,916,340,415,340,0
0,Beer,25,502,922,947,420,445,420,0
4,Gin and Tonic,40,533,952,992,419,459,419,0
11,Tequila shot,20,551,998,1018,447,467,447,0
2,Pina Colada,100,558,1023,1123,465,565,465,0
12,White Wine,25,600,1234,1259,634,659,634,0
5,Pina Colada,100,629,1264,1365,635,736,635,0
13,Margarita,75,651,1370,1445,719,794,719,0
14,Cider,25,701,1450,1476,749,775,749,0
15,Martini,60,751,1481,1541,730,790,730,0
1,Gin and Tonic,40,759,1546,1586,787,827,787,0
6,Bloody Mary,70,780,1592,1662,812,882,812,0
16,Pina Colada,100,801,1667,1767,866,966,866,0
7,Draft Beer,50,810,1773,1823,963,1013,963,0
17,Gin and Tonic,40,851,1829,1869,978,1018,978,0
8,Bloody Mary,70,866,1874,1945,1008,1079,1008,0
18,Gin and Tonic,40,901,1950,1990,1049,1089,1049,0
9,White Wine,25,946,1996,2021,1050,1075,1050,0
19,White Wine,25,951,2026,2051,1075,1100,1075,0
10,Beer,25,997,2056,2082,1059,1085,1059,0
20,Beer,25,1001,2087,2112,1086,1111,1086,0
11,Mojito,75,1021,2118,2193,1097,1172,1097,0
0,Pina Colada,100,1047,2198,2298,1151,1251,1151,0
21,Pina Colada,100,1051,2304,2404,1253,1353,1253,0
22,Cosmopolitan,65,1101,2409,2474,1308,1373,1308,0
23,Bloody Mary,70,1151,2585,2655,1434,1504,1434,0
24,Martini,60,1201,2661,2721,1460,1520,1460,0
3,B52,100,594,1128,2826,534,2232,534,1
2,Draft Beer,50,1243,2832,2882,1589,1639,1589,0
25,White Wine,25,1251,2887,2912,1636,1661,1636,0
26,Cosmopolitan,65,1301,2918,2983,1617,1682,1617,0
27,Draft Beer,50,1351,2988,3039,1637,1688,1637,0
28,White Wine,25,1401,3044,3069,1643,1668,1643,0
12,Draft Beer,50,1409,3074,3124,1665,1715,1665,0
29,Pina Colada,100,1451,3130,3230,1679,1779,1679,0
5,Pina Colada,100,1485,3235,3335,1750,1850,1750,0
13,White Wine,25,1526,3341,3366,1815,1840,1815,0
14,Martini,60,1576,3371,3431,1795,1855,1795,0
15,Vodka shot,20,1651,3437,3457,1786,1806,1786,0
1,White Wine,25,1697,3462,3487,1765,1790,1765,0
6,Bloody Mary,70,1812,3492,3563,1680,1751,1680,0
16,Pina Colada,100,1888,3568,3668,1680,1780,1680,0
7,Red Wine,25,1924,3674,3699,1750,1775,1750,0
17,Gin and Tonic,40,1979,3704,3744,1725,1765,1725,0
8,Cider,25,2095,3750,3775,1655,1680,1655,0
18,Draft Beer,50,2101,3780,3830,1679,1729,1679,0
10,Beer,25,2182,3941,3967,1759,1785,1759,0
19,Vodka shot,20,2202,3972,3992,1770,1790,1770,0
0,Martini,60,2419,4209,4269,1790,1850,1790,0
21,Red Wine,25,2524,4274,4299,1750,1775,1750,0
22,Tequila shot,20,2525,4305,4325,1780,1800,1780,0
4,B52,100,1103,2480,4430,1377,3327,1377,1
23,Cosmopolitan,65,2806,4436,4501,1630,1695,1630,0
24,Bloody Mary,70,2831,4506,4577,1675,1746,1675,0
3,Margarita,75,2837,4582,4657,1745,1820,1745,0
2,Pina Colada,100,2982,4662,4763,1680,1781,1680,0
26,Red Wine,25,3033,4768,4793,1735,1760,1735,0
25,Pina Colada,100,3063,4798,4899,1735,1836,1735,0
27,Martini,60,3139,4904,4964,1765,1825,1765,0
28,Margarita,75,3219,4969,5045,1750,1826,1750,0
12,Bloody Mary,70,3225,5050,5120,1825,1895,1825,0
29,White Wine,25,3350,5126,5151,1776,1801,1776,0
5,Cider,25,3456,5156,5181,1700,1725,1700,0
15,Tequila shot,20,3460,5187,5207,1727,1747,1727,0
13,Red Wine,25,3516,5212,5237,1696,1721,1696,0
14,Martini,60,3542,5242,5303,1700,1761,1700,0
6,Beer,25,3713,5308,5333,1595,1620,1595,0
16,Draft Beer,50,3789,5338,5388,1549,1599,1549,0
7,Cider,25,3849,5394,5419,1545,1570,1545,0
17,Cosmopolitan,65,3855,5424,5490,1569,1635,1569,0
8,Cosmopolitan,65,3875,5495,5560,1620,1685,1620,0
18,Martini,60,3931,5565,5626,1634,1695,1634,0
9,B52,100,2171,3836,5731,1665,3560,1665,1
19,Red Wine,25,3996,5736,5761,1740,1765,1740,0
10,Mojito,75,4067,5767,5842,1700,1775,1700,0
20,B52,100,2213,3998,5948,1785,3735,1785,1
11,B52,100,2303,4103,6053,1800,3750,1800,1
22,Gin and Tonic,40,4328,6058,6099,1730,1771,1730,0
4,Cider,25,4441,6104,6129,1663,1688,1663,0
21,Tequila shot,20,4450,6134,6155,1684,1705,1684,0
24,Cider,25,4727,6265,6291,1538,1564,1538,0
3,Cosmopolitan,65,4737,6296,6361,1559,1624,1559,0
26,Gin and Tonic,40,4943,6366,6407,1423,1464,1423,0
25,Margarita,75,5019,6412,6487,1393,1468,1393,0
27,Pina Colada,100,5075,6492,6592,1417,1517,1417,0
28,Tequila shot,20,5125,6598,6618,1473,1493,1473,0
15,Bloody Mary,70,5210,6623,6693,1413,1483,1413,0
12,Mojito,75,5271,6699,6774,1428,1503,1428,0
5,Red Wine,25,5282,6779,6804,1497,1522,1497,0
29,Martini,60,5301,6810,6870,1509,1569,1509,0
13,Vodka shot,20,5388,6875,6895,1487,1507,1487,0
14,Cosmopolitan,65,5413,6901,6966,1488,1553,1488,0
6,Margarita,75,5434,6971,7046,1537,1612,1537,0
16,Bloody Mary,70,5489,7052,7122,1563,1633,1563,0
7,Beer,25,5520,7127,7152,1607,1632,1607,0
17,Margarita,75,5540,7158,7233,1618,1693,1618,0
8,Red Wine,25,5610,7238,7263,1628,1653,1628,0
18,Mojito,75,5736,7269,7344,1533,1608,1533,0
9,Vodka shot,20,5741,7349,7370,1608,1629,1608,0
19,Gin and Tonic,40,5912,7375,7415,1463,1503,1463,0
10,Tequila shot,20,5953,7420,7440,1467,1487,1467,0
20,Vodka shot,20,5958,7445,7465,1487,1507,1487,0
11,Bloody Mary,70,6064,7470,7541,1406,1477,1406,0
21,Margarita,75,6158,7546,7621,1388,1463,1388,0
22,Cosmopolitan,65,6209,7626,7692,1417,1483,1417,0
4,Gin and Tonic,40,6230,7697,7737,1467,1507,1467,0
23,B52,100,4552,6160,7843,1608,3291,1608,1
24,Cider,25,6391,7848,7873,1457,1482,1457,0
3,Martini,60,6412,7878,7938,1466,1526,1466,0
26,Pina Colada,100,6517,7943,8044,1426,1527,1426,0
25,Beer,25,6567,8049,8074,1482,1507,1482,0
28,Mojito,75,6621,8079,8155,1458,1534,1458,0
27,Draft Beer,50,6713,8160,8210,1447,1497,1447,0
15,Cider,25,6844,8215,8240,1371,1396,1371,0
12,Pina Colada,100,6884,8246,8346,1362,1462,1362,0
13,Draft Beer,50,6899,8351,8401,1452,1502,1452,0
29,Draft Beer,50,6980,8407,8457,1427,1477,1427,0
14,Beer,25,7016,8462,8487,1446,1471,1446,0
16,Pina Colada,100,7272,8492,8593,1220,1321,1220,0
17,Draft Beer,50,7313,8598,8648,1285,1335,1285,0
9,Mojito,75,7373,8653,8728,1280,1355,1280,0
18,Martini,60,7454,8734,8794,1280,1340,1280,0
20,Tequila shot,20,7469,8799,8819,1330,1350,1330,0
19,Beer,25,7525,8824,8850,1299,1325,1299,0
11,Beer,25,7691,8855,8880,1164,1189,1164,0
21,Pina Colada,100,7702,8885,8985,1183,1283,1183,0
22,Martini,60,7742,8991,9051,1249,1309,1249,0
23,Beer,25,7853,9056,9081,1203,1228,1203,0
24,Vodka shot,20,7973,9087,9107,1114,1134,1114,0
26,Martini,60,8164,9112,9172,948,1008,948,0
28,Martini,60,8265,9283,9343,1018,1078,1018,0
27,Cider,25,8310,9348,9373,1038,1063,1038,0
29,Martini,60,8557,9379,9439,822,882,822,0
20,Draft Beer,50,8823,9444,9494,621,671,621,0
23,Margarita,75,9182,9500,9575,318,393,318,0
25,B52,100,8174,9177,9680,1003,1506,1003,1
