PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,0,1,26,1,26,1,0
1,Cider,25,50,50,75,0,25,0,0
2,Cider,25,100,100,125,0,25,0,0
1,Tequila shot,20,175,186,206,11,31,11,0
4,White Wine,25,200,282,307,82,107,82,0
2,Red Wine,25,226,348,373,122,147,122,0
6,Beer,25,300,485,510,185,210,185,0
1,Martini,30,209,313,546,104,337,104,1
7,Beer,25,350,551,576,201,226,201,0
0,Bloody Mary,10,176,211,627,35,451,35,2
5,Martini,30,250,414,662,164,412,164,1
10,Beer,25,500,774,799,274,299,274,0
11,Tequila shot,20,550,840,860,290,310,290,0
8,Gin and Tonic,10,400,581,947,181,547,181,1
13,White Wine,25,650,952,977,302,327,302,0
14,Cider,25,700,1089,1114,389,414,389,0
2,Gin and Tonic,10,524,805,1343,281,819,281,1
19,White Wine,25,950,1560,1586,610,636,610,0
20,White Wine,25,1000,1591,1616,591,616,591,0
21,Beer,25,1050,1692,1718,642,668,642,0
8,Beer,25,1057,1723,1748,666,691,666,0
9,Mojito,15,450,668,1769,218,1319,218,2
4,Margarita,15,458,703,1860,245,1402,245,2
15,Martini,30,750,1155,1931,405,1181,405,1
5,Gin and Tonic,10,773,1226,2089,453,1316,453,1
17,Draft Beer,20,850,1348,2256,498,1406,498,1
28,White Wine,25,1400,2262,2287,862,887,862,0
11,Gin and Tonic,10,863,1383,2302,520,1439,520,1
18,Gin and Tonic,10,900,1490,2460,590,1560,590,1
7,Margarita,15,677,1018,2551,341,1874,341,2
19,White Wine,25,1736,2557,2582,821,846,821,0
9,White Wine,25,1879,2765,2790,886,911,886,0
3,B52,20,150,150,2958,0,2808,0,6
15,Vodka shot,20,2042,2963,2984,921,942,921,0
0,Bloody Mary,10,777,1261,3035,484,2258,484,2
26,Martini,30,1300,2129,3071,829,1771,829,1
5,White Wine,25,2199,3111,3136,912,937,912,0
27,Draft Beer,20,1350,2200,3162,850,1812,850,1
12,Pina Colada,10,600,865,3177,265,2577,265,3
2,Draft Beer,20,1453,2378,3274,925,1821,925,1
28,Red Wine,25,2437,3314,3340,877,903,877,0
10,Bloody Mary,10,900,1454,3355,554,2455,554,2
1,Pina Colada,10,656,982,3406,326,2750,326,3
20,Draft Beer,20,1767,2587,3466,820,1699,820,1
7,Cider,25,2632,3471,3497,839,865,839,0
22,Mojito,15,1100,1774,3517,674,2417,674,2
4,Martini,30,1941,2831,3730,890,1789,890,1
24,Cosmopolitan,5,1200,1937,3740,737,2540,737,2
3,Beer,25,2969,3817,3842,848,873,848,0
15,Vodka shot,20,2987,3847,3867,860,880,860,0
25,Bloody Mary,10,1250,2043,3883,793,2633,793,2
16,Pina Colada,10,800,1297,3898,497,3098,497,3
29,Cosmopolitan,5,1450,2343,4014,893,2564,893,2
5,Red Wine,25,3287,4055,4080,768,793,768,0
12,Tequila shot,20,3297,4085,4105,788,808,788,0
18,Gin and Tonic,10,2570,3411,4226,841,1656,841,1
20,Red Wine,25,3567,4373,4398,806,831,806,0
13,Pina Colada,10,1127,1810,4413,683,3286,683,3
19,Draft Beer,20,2732,3593,4474,861,1742,861,1
23,Pina Colada,10,1150,1866,4561,716,3411,716,3
15,White Wine,25,3871,4707,4732,836,861,836,0
3,Cider,25,3942,4773,4798,831,856,831,0
17,Bloody Mary,10,2357,3183,4849,826,2492,826,2
16,Tequila shot,20,4018,4854,4874,836,856,836,0
25,Red Wine,25,4033,4879,4905,846,872,846,0
27,Martini,30,3262,4019,4940,757,1678,757,1
12,Beer,25,4108,4980,5005,872,897,872,0
18,Cider,25,4336,5259,5284,923,948,923,0
21,Pina Colada,10,1818,2658,5299,840,3481,840,3
22,Martini,30,3628,4479,5370,851,1742,851,1
8,Pina Colada,10,1849,2729,5421,880,3572,880,3
23,Red Wine,25,4681,5603,5629,922,948,922,0
3,Cider,25,4898,5811,5836,913,938,913,0
29,Martini,30,4064,4945,5871,881,1807,881,1
17,Tequila shot,20,4999,5877,5897,878,898,878,0
11,Pina Colada,10,2412,3279,5912,867,3500,867,3
25,Cider,25,5055,5953,5978,898,923,898,0
2,Cosmopolitan,5,3374,4145,5989,771,2615,771,2
6,B52,20,611,901,6049,290,5438,290,6
5,Draft Beer,20,4230,5117,6075,887,1845,887,1
28,Bloody Mary,10,3490,4231,6090,741,2600,741,2
10,Margarita,15,3505,4267,6110,762,2605,762,2
19,Martini,30,4574,5462,6395,888,1821,888,1
8,Tequila shot,20,5541,6435,6456,894,915,894,0
24,Margarita,15,3791,4601,6476,810,2685,810,2
4,Bloody Mary,10,3840,4672,6526,832,2686,832,2
15,Gin and Tonic,10,4883,5775,6684,892,1801,892,1
3,Red Wine,25,5936,6724,6750,788,814,788,0
11,Vodka shot,20,6033,6861,6882,828,849,828,0
1,Pina Colada,10,3526,4302,6968,776,3442,776,3
7,Pina Colada,10,3597,4418,6983,821,3386,821,3
18,Gin and Tonic,10,5384,6187,7035,803,1651,803,1
28,Beer,25,6240,7040,7065,800,825,800,0
13,Cosmopolitan,5,4534,5375,7075,841,2541,841,2
20,Cosmopolitan,5,4548,5426,7121,878,2573,878,2
14,B52,20,1215,1972,7182,757,5967,757,6
19,Red Wine,25,6505,7223,7248,718,743,718,0
16,Mojito,15,4878,5740,7410,862,2532,862,2
4,Vodka shot,20,6677,7451,7471,774,794,774,0
29,Martini,30,5982,6790,7578,808,1596,808,1
12,Cosmopolitan,5,5106,5994,7588,888,2482,888,2
7,Tequila shot,20,7104,7735,7755,631,651,631,0
21,Margarita,15,5420,6258,7775,838,2355,838,2
13,Vodka shot,20,7126,7780,7800,654,674,654,0
23,Bloody Mary,10,5779,6638,8170,859,2391,859,2
17,Mojito,15,5900,6689,8191,789,2291,789,2
16,Cider,25,7521,8196,8221,675,700,675,0
11,Gin and Tonic,10,6885,7593,8272,708,1387,708,1
6,Cosmopolitan,5,6060,6887,8318,827,2258,827,2
25,Margarita,15,6078,6922,8373,844,2295,844,2
10,Bloody Mary,10,6191,6989,8389,798,2198,798,2
13,Beer,25,7804,8394,8419,590,615,590,0
22,Pina Colada,10,5481,6329,8505,848,3024,848,3
14,Gin and Tonic,10,7192,7947,8591,755,1399,755,1
8,Margarita,15,6459,7187,8611,728,2152,728,2
9,B52,20,2941,3781,8636,840,5695,840,6
24,Mojito,15,6556,7289,8656,733,2100,733,2
26,B52,20,3181,3903,8682,722,5501,722,6
0,B52,20,3185,3939,8707,754,5522,754,6
12,Martini,30,7638,8277,8813,639,1175,639,1
23,Cider,25,8321,8818,8844,497,523,497,0
18,Bloody Mary,10,7145,7806,9001,661,1856,661,2
10,Beer,25,8539,9042,9067,503,528,503,0
28,Margarita,15,7165,7876,9087,711,1922,711,2
20,Cosmopolitan,5,7172,7912,9098,740,1926,740,2
0,Tequila shot,20,8717,9244,9264,527,547,527,0
24,Beer,25,8767,9304,9330,537,563,537,0
17,Draft Beer,20,8301,8748,9355,447,1054,447,1
23,Beer,25,8944,9430,9455,486,511,486,0
6,Draft Beer,20,8368,8920,9481,552,1113,552,1
25,Draft Beer,20,8453,8955,9506,502,1053,502,1
21,Mojito,15,7855,8459,9527,604,1672,604,2
9,Draft Beer,20,8646,9138,9588,492,942,492,1
14,Martini,30,8701,9209,9658,508,957,508,1
27,B52,20,5050,5918,9684,868,4634,868,6
29,Pina Colada,10,7688,8323,9735,635,2047,635,3
26,Mojito,15,8692,9174,9862,482,1170,482,2
21,Beer,25,9637,9867,9892,230,255,230,0
9,Vodka shot,20,9688,9897,9917,209,229,209,0
16,Pina Colada,10,8321,8849,9968,528,1647,528,3
22,Pina Colada,10,8625,9103,10054,478,1429,478,3
6,Martini,30,9581,9811,10090,230,509,230,1
27,Martini,30,9694,9923,10160,229,466,229,1
26,Cider,25,9972,10166,10191,194,219,194,0
29,Martini,30,9855,10095,10297,240,442,240,1
24,Pina Colada,10,9430,9740,10383,310,953,310,3
22,Martini,30,10174,10302,10489,128,315,128,1
27,Draft Beer,20,10271,10388,10550,117,279,117,1
26,Margarita,15,10291,10424,10642,133,351,133,2
14,B52,20,9769,9973,10703,204,934,204,6
